Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TopUps,Chrome 80.0.3987.149,,,2020-03-30 17:19:02,2020-03-30 17:20:56,1m - 54.745s,PASSED
,,,,,,,
Test Cases/Front End/TC_TopUP(AED)_003,Chrome 80.0.3987.149,"As a registered user, I should be able to login and to do Top Up my Chiragh AED Wallet with AED 1,000. My request should be successfully submitted.",,2020-03-30 17:19:02,2020-03-30 17:20:56,1m - 54.237s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,,,2020-03-30 17:19:03,2020-03-30 17:19:10,7.074s,PASSED
navigateToUrl(Url),Chrome 80.0.3987.149,,,2020-03-30 17:19:10,2020-03-30 17:19:43,33.283s,PASSED
waitForPageLoad(15),Chrome 80.0.3987.149,,,2020-03-30 17:19:43,2020-03-30 17:19:43,0.181s,PASSED
maximizeWindow(),Chrome 80.0.3987.149,,,2020-03-30 17:19:43,2020-03-30 17:19:48,4.278s,PASSED
delay(3),Chrome 80.0.3987.149,,,2020-03-30 17:19:48,2020-03-30 17:19:51,3.061s,PASSED
"click(findTestObject(""Object Repository/Front End Objects/LoginWithValidCredentials/Page_Chiragh - Home/a_ENG_dropdownMenuLink""))",Chrome 80.0.3987.149,,,2020-03-30 17:19:51,2020-03-30 17:19:51,0.582s,PASSED
"click(findTestObject(""Object Repository/Front End Objects/LoginWithValidCredentials/Page_Chiragh - Home/a_Login""))",Chrome 80.0.3987.149,,,2020-03-30 17:19:51,2020-03-30 17:19:52,0.907s,PASSED
"setText(findTestObject(""Object Repository/Front End Objects/LoginWithValidCredentials/Page_Chiragh - Login/input_Username_un""), userName)",Chrome 80.0.3987.149,,,2020-03-30 17:19:52,2020-03-30 17:19:53,0.650s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Front End Objects/LoginWithValidCredentials/Page_Chiragh - Login/input_Password_userPassword""), ""RigbBhfdqOBDK95asqKeHw=="")",Chrome 80.0.3987.149,,,2020-03-30 17:19:53,2020-03-30 17:19:53,0.544s,PASSED
"click(findTestObject(""Object Repository/Front End Objects/LoginWithValidCredentials/Page_Chiragh - Login/button_Log In""))",Chrome 80.0.3987.149,,,2020-03-30 17:19:53,2020-03-30 17:19:54,0.423s,PASSED
waitForPageLoad(15),Chrome 80.0.3987.149,,,2020-03-30 17:19:54,2020-03-30 17:19:54,0.052s,PASSED
